City,Country,Continent,Month,AvgTemperature
Algiers,Algeria,Africa,1,10.509098428453262
Algiers,Algeria,Africa,2,10.933862433862437
Algiers,Algeria,Africa,3,13.365660325337727
Algiers,Algeria,Africa,4,15.471581196581196
Algiers,Algeria,Africa,5,18.320501974055297
Algiers,Algeria,Africa,6,22.355777777777753
Algiers,Algeria,Africa,7,25.816200716845923
Algiers,Algeria,Africa,8,26.03620071684594
Algiers,Algeria,Africa,9,23.211555555555478
Algiers,Algeria,Africa,10,20.134265232974954
Algiers,Algeria,Africa,11,14.562592592592573
Algiers,Algeria,Africa,12,11.338917525773176
Bujumbura,Burundi,Africa,1,-51.53487730907087
Bujumbura,Burundi,Africa,2,-52.535573720859816
Bujumbura,Burundi,Africa,3,-49.38420181968569
Bujumbura,Burundi,Africa,4,-55.21367521367521
Bujumbura,Burundi,Africa,5,-52.61855527984559
Bujumbura,Burundi,Africa,6,-47.07678410117434
Bujumbura,Burundi,Africa,7,-52.943548387096776
Bujumbura,Burundi,Africa,8,-55.43862007168458
Bujumbura,Burundi,Africa,9,-58.195370370370355
Bujumbura,Burundi,Africa,10,-61.38306451612904
Bujumbura,Burundi,Africa,11,-57.47283950617283
Bujumbura,Burundi,Africa,12,-56.35872162485065
Cotonou,Benin,Africa,1,26.920940170940128
Cotonou,Benin,Africa,2,27.77498110355252
Cotonou,Benin,Africa,3,27.872070581748005
Cotonou,Benin,Africa,4,27.254344729344737
Cotonou,Benin,Africa,5,25.997602932882142
Cotonou,Benin,Africa,6,25.724296296296252
Cotonou,Benin,Africa,7,24.729534050179197
Cotonou,Benin,Africa,8,18.401433691756225
Cotonou,Benin,Africa,9,22.874222222222198
Cotonou,Benin,Africa,10,22.829103942652395
Cotonou,Benin,Africa,11,21.3719259259259
Cotonou,Benin,Africa,12,22.379080756013764
Bangui,Central African Republic,Africa,1,14.710987041632187
Bangui,Central African Republic,Africa,2,23.060166288737737
Bangui,Central African Republic,Africa,3,22.274124620898803
Bangui,Central African Republic,Africa,4,19.731837606837594
Bangui,Central African Republic,Africa,5,19.408065425831914
Bangui,Central African Republic,Africa,6,20.57148148148144
Bangui,Central African Republic,Africa,7,21.506810035842236
Bangui,Central African Republic,Africa,8,20.064301075268784
Bangui,Central African Republic,Africa,9,21.25703703703705
Bangui,Central African Republic,Africa,10,18.34867383512542
Bangui,Central African Republic,Africa,11,15.917555555555547
Bangui,Central African Republic,Africa,12,16.857817869415786
Brazzaville,Congo,Africa,1,19.49924179762886
Brazzaville,Congo,Africa,2,23.243537414965967
Brazzaville,Congo,Africa,3,25.826923076923027
Brazzaville,Congo,Africa,4,24.29786324786329
